bopt,bname,Bautor,Bmemo,,,,,,,
272.6,CD : СКАЗКИ О ПЕТСОНЕ И ФИНДУСЕ ( МР3 ),Свен Нурдквист,"Сказки о Петсоне и Финдусе признаны классикой современной детской литературы. Они переведены на многие языки, а теперь их можно еще и послушать",,,,,,,
126.7,CD : СЛЕД УПАВШЕЙ ЗВЕЗДЫ,Илья Короп,,,,,,,,
47.1,CD : ТОКСИКОЛОГИЧЕСКАЯ ХИМИЯ. МЕТАБОЛИЗМ И АНАЛИЗ ТОКСИКАНТОВ. Без кода 279038 не продавать !!!!!,под ред.Калетиной Н.И.,,,,,,,,
233.3,CD 5 АКСИОМ КЛИЕНТООРИЕНТАЦИИ,Альтшулер И.Г,"Что такое клиентоориентация? Когда она не нужна? Чем отличается клиент от потребителя, покупателя, заказчика? Знаете ли вы аксиомы клиентоориентации и как обойти ее противоречия? Легко ли перевести ""кольцо неуважения"" в ""кольцо уважения""? Как составить ""к",,,,,,,
423.5,CD БАКАЛАВР: МИКРОЭКОНОМИКА: ЭЛЕКТРОННЫЙ УЧЕБНИК.,"Юданов А.Ю., ред.",,,,,,,,
350,CD ДЕЙТРЕЙДИНГ НА РЫНКЕ FOREX. СТРАТЕГИИ ИЗВЛЕЧЕНИЯ ПРИБЫЛИ,Лин К.,,,,,,,,
1388.3,CD УПРАВЛЕНИЕ МЫШЛЕНИЕМ ПОДЧИНЕННЫХ: ЦЕНТРИРУЮЩИЕ ПАРАДИГМЫ (однодневный семинар),Фридман А.,,,,,,,,
692.3,CD ФИНАНСОВЫЙ МЕНЕДЖМЕНТ: ЭЛЕКТРОННЫЙ УЧЕБНИК. УЧЕБНИК ДЛЯ ВУЗОВ,"Гаврилова А.Н.,Сысоева Е.Ф",,,,,,,,
564.7,CD ФИНАНСЫ ОРГАНИЗАЦИЙ (ПРЕДПРИЯТИЙ). ЭЛЕКТРОННЫЙ УЧЕБНИК. УМО,"Гаврилова А.Н., Попов А.А.",,,,,,,,
285.9,CD: ИСПАНСКИЙ ЯЗЫК 4 КЛАСС. ЗВУКОВОЕ ПОСОБИЕ,Пониматко А.П.,,,,,,,,
131.2,CD:ИСКУССТВО УПРАВЛЕНИЯ КОЛЛЕКТИВОМ,Станкин М.И.,,,,,,,,
210,CD:КОММЕНТАРИЙ К УИК РФ (ПОСТАТЕЙНЫЙ). С практическими разъяснениями официальных органов и постатейными материалами,Борисов А.Б.,,,,,,,,
210,CD:КОММЕНТАРИЙ К УПК РФ(ПОСТАТЕЙНЫЙ),Борисов А.Б.,,,,,,,,
47.1,"CD:ФТИЗИАТРИЯ. 4-Е ИЗД., ПЕРЕРАБ. И ДОП. Без кода 350793 не продавать!!!","Перельман М.И., Богадельникова И.В.",,,,,,,,
401,COLLINS PAPERBACK THESAURUS A-Z 6 ED,-,,,,,,,,
399,"CSS. 100 И 1 СОВЕТ, 3-Е ИЗДАНИЕ",Эндрю Р.,,,,,,,,
736.8,CUTTING EDGE NED INT CB,-,,,,,,,,
688.5,CUTTING EDGE NED PRE-INT CB,-,,,,,,,,
518.7,DO GOOD DESIGN: КАК ДИЗАЙНЕРЫ МОГУТ ИЗМЕНИТЬ МИР,Дэвид Берман,,,,,,,,
313.7,EL HERMITAGE.OBRAS MAESTRAS,-,,,,,,,,
74.3,ENGLISH GRAMMAR PRACTICE.УЧ.ПОС,Цветкова Т.К.,,,,,,,,
249.3,ENGLISH READING DEVELOPMENT: УЧЕБНОЕ ПОСОБИЕ,Виноградова В. С.,,,,,,,,
89.4,EXCEL 2010 ПРОЩЕ ПРОСТОГО!,Алиев В К,,,,,,,,
282.4,"FACEBOOK: РУКОВОДСТВО, КОТОРОГО ТАК НЕ ХВАТАЛО.",Е. А. Вандер Вир,,,,,,,,
51.5,FAKE - СТРУКТУРЫ. ПРИЗРАКИ РОССИЙСКОЙ ПОЛИТИКИ.,Григорьев М.,,,,,,,,
423.6,GRAMMAIRE CONTRASTIVE DU FRANCAIS ET DU RUSSE /СОПОСТАВИТЕЛЬНАЯ ГРАММАТИКА ФРАНЦУЗСКОГО И РУССКОГО ЯЗЫКОВ:УЧЕБНОЕ ПОСОБИЕ,И.Н. Кузнецова,,,,,,,,
1129.41,"HIC RHODUS, HIC SALTA, ИЛИ ПРИЗНАКИ И ДЕЛА МУЖЕЙ ШАРГОРОДА",Никита Алексеев,,,,,,,,
